dataset,folder,sample,coding,ber,fer,decoded_len
ICARUS,phase2_snr,sample_000,none,0.83642578125,,2048
ICARUS,phase2_snr,sample_001,none,0.8427734375,,2048
ICARUS,phase2_snr,sample_002,none,0.8359375,,2048
ICARUS,phase2_snr,sample_000,none,0.48828125,,1024
ICARUS,phase2_snr,sample_001,none,0.501953125,,1024
ICARUS,phase2_snr,sample_002,none,0.5107421875,,1024
ICARUS,phase2_snr,sample_000,none,1.0,,2048
ICARUS,phase2_snr,sample_001,none,1.0,,2048
ICARUS,phase2_snr,sample_002,none,1.0,,2048
ICARUS,phase2_snr,sample_000,none,0.5029296875,,1024
ICARUS,phase2_snr,sample_001,none,0.482421875,,1024
ICARUS,phase2_snr,sample_002,none,0.498046875,,1024
ICARUS,phase1_timing,sample_000,none,0.5953079178885631,,1023
ICARUS,phase1_timing,sample_001,none,0.5933528836754643,,1023
ICARUS,phase1_timing,sample_002,none,0.6050830889540567,,1023
ICARUS,phase1_timing,sample_000,none,0.581622678396872,,1023
ICARUS,phase1_timing,sample_001,none,0.5757575757575758,,1023
ICARUS,phase1_timing,sample_002,none,0.5835777126099707,,1023
ICARUS,phase4_doppler,snr_10db,none,0.4887585532746823,,1023
ICARUS,phase4_doppler,snr_15db,none,0.4965786901270772,,1023
ICARUS,phase4_doppler,snr_10db,none,0.5180840664711632,,1023
ICARUS,phase4_doppler,snr_15db,none,0.5053763440860215,,1023
phase3_coding,convolutional,sample_000,conv,0.49411764705882355,,255
phase3_coding,convolutional,sample_001,conv,0.43137254901960786,,255
phase3_coding,convolutional,sample_000,conv,0.4823529411764706,,255
phase3_coding,convolutional,sample_001,conv,0.5137254901960784,,255
phase3_coding,reed_solomon,sample_000,rs,0.5284090909090909,1.0,352
phase3_coding,reed_solomon,sample_001,rs,0.5227272727272727,1.0,352
phase3_coding,reed_solomon,sample_000,rs,0.5397727272727273,1.0,352
phase3_coding,reed_solomon,sample_001,rs,0.5568181818181818,0.875,352
